Date,Price,Open,High,Low,Vol.,Change %
2023-08-11,0.9999,1.0,1.0,0.9996,438670,0
2023-08-10,0.9999,0.9999,1.0001,0.9998,445120,0
2023-08-09,0.9999,0.9999,1.0001,0.9996,1110000,0
2023-08-08,0.9999,0.9996,1.0001,0.9991,965840,0
2023-08-07,0.9996,1.0,1.0002,0.9994,863470,0
2023-08-06,1.0,0.9999,1.0003,0.9996,272820,0
2023-08-05,0.9999,0.9998,1.0,0.9996,220980,0
2023-08-04,0.9998,1.0002,1.0004,0.9993,365670,0
2023-08-03,1.0002,0.9998,1.0004,0.9995,676360,0
2023-08-02,0.9998,0.9998,1.0005,0.9995,648690,0
2023-08-01,0.9998,0.9999,1.0004,0.9981,779380,0
2023-07-31,0.9999,0.9998,1.0007,0.9992,671810,0
2023-07-30,0.9998,0.9998,1.0003,0.9998,123880,0
2023-07-29,0.9998,0.9997,1.0,0.9985,335030,0
2023-07-28,0.9997,0.9997,1.0004,0.9985,700770,0
2023-07-27,0.9997,0.9999,1.0006,0.998,530660,0
2023-07-26,0.9999,0.9999,1.002,0.9992,538420,0
2023-07-25,0.9999,1.0001,1.0014,0.9994,549990,0
2023-07-24,1.0001,0.9998,1.0009,0.999,543010,0
2023-07-23,0.9999,1.0,1.0005,0.999,275010,0
2023-07-22,0.9999,1.0,1.0009,0.999,397270,0
2023-07-21,1.0,0.9995,1.0004,0.9975,839810,0
2023-07-20,0.9995,0.9998,0.9999,0.9993,462580,0
2023-07-19,0.9998,0.9999,1.0001,0.9996,510530,0
2023-07-18,0.9999,0.9999,1.0,0.997,1520000,0
2023-07-17,0.9999,1.0002,1.0004,0.9982,776800,0
2023-07-16,1.0002,0.9997,1.0015,0.9996,287960,0
2023-07-15,0.9997,0.9998,0.9999,0.9991,268330,0
2023-07-14,0.9998,0.9994,1.0026,0.9991,1160000,0
2023-07-13,0.9994,0.9994,1.0,0.999,980320,0
2023-07-12,0.9994,0.9996,0.9999,0.9992,608150,0
2023-07-11,0.9995,0.9999,1.0,0.9989,1220000,0
