Date,Price,Open,High,Low,Vol.,Change %,Returns,Log Returns,Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Vol_Norm
2021-05-02,1.5611,1.6507,1.6535,1.5321,947880000.0,0.0,0.4116549816684856,0.0041081000069258,Sunday,0,0,0,0,0,0,-0.0880796524581174
2021-05-03,1.5547,1.5611,1.6191,1.5241,1050000000.0,0.0,11.320349420020047,0.1072418895437601,Monday,1,0,0,0,0,0,0.0037732642909262338
2021-05-04,1.3966,1.5546,1.557,1.3549,2180000000.0,0.0,-13.469640644361837,-0.1446748584179592,Tuesday,0,1,0,0,0,0,1.0201637453565284
2021-05-05,1.614,1.3975,1.6207,1.3975,2010000000.0,0.0,0.6924948530788066,0.0069010811980588,Wednesday,0,0,1,0,0,0,0.8672554428953317
2021-05-06,1.6029,1.6139,1.76,1.5453,2370000000.0,0.0,1.385199240986723,0.0137569304223633,Thursday,0,0,0,1,0,0,1.1910612598719836
2021-05-07,1.581,1.603,1.6896,1.5115,1440000000.0,0.0,1.1904761904761862,0.0118344576470027,Friday,0,0,0,0,1,0,0.35456289934896595
2021-05-08,1.5624,1.5809,1.6261,1.5415,796720000.0,0.0,1.81818181818183,0.0180185055026784,Saturday,0,0,0,0,0,1,-0.22404211716420275
2021-05-09,1.5345,1.5623,1.5932,1.4482,1160000000.0,0.0,10.316319194823876,0.098181682136348,Sunday,0,0,0,0,0,0,0.1027139305893477
2021-05-10,1.391,1.5345,1.6261,1.2369,1900000000.0,0.0,-5.886332882273337,-0.0606669095847041,Monday,1,0,0,0,0,0,0.7683147765969103
2021-05-11,1.478,1.3911,1.4868,1.3587,1180000000.0,0.0,16.533943073405343,0.1530124014347632,Tuesday,0,1,0,0,0,0,0.12070314264360615
2021-05-12,1.2683,1.4781,1.5435,1.2431,1650000000.0,0.0,-6.838548552960189,-0.0708361609404671,Wednesday,0,0,1,0,0,0,0.5434496259186797
2021-05-13,1.3614,1.269,1.3888,1.2054,2140000000.0,0.0,-2.992731936725101,-0.0303842818043373,Thursday,0,0,0,1,0,0,0.9841853212480116
2021-05-14,1.4034,1.3616,1.4433,1.3225,1190000000.0,0.0,-5.552190591560668,-0.0571227854441133,Friday,0,0,0,0,1,0,0.12969774867073539
2021-05-15,1.4859,1.4023,1.5799,1.3246,2300000000.0,0.0,2.497068358970833,0.02466401080545,Saturday,0,0,0,0,0,1,1.128099017682079
2021-05-16,1.4497,1.4859,1.6087,1.3489,2210000000.0,0.0,-3.0884417407580744,-0.0313713939235634,Sunday,0,0,0,0,0,0,1.0471475634379162
2021-05-17,1.4959,1.4483,1.5626,1.3264,2400000000.0,0.0,-5.947815152467784,-0.0613203998087836,Monday,1,0,0,0,0,0,1.2180450779533714
2021-05-18,1.5905,1.4959,1.6998,1.4742,2670000000.0,0.0,49.806913440708286,0.4041770351696713,Tuesday,0,1,0,0,0,0,1.4608994406858604
2021-05-19,1.0617,1.5905,1.6429,0.8754,5030000000.0,0.0,-9.994913530010162,-0.1053040009215936,Wednesday,0,0,1,0,0,0,3.583626463088357
2021-05-20,1.1796,1.0616,1.2645,0.9119,3040000000.0,0.0,17.25646123260438,0.1591933262814367,Thursday,0,0,0,1,0,0,1.7936998636896417
2021-05-21,1.006,1.1796,1.2158,0.8673,2730000000.0,0.0,11.160220994475134,0.1058024069597583,Friday,0,0,0,0,1,0,1.5148670768486359
2021-05-22,0.905,1.0057,1.0134,0.8201,2280000000.0,0.0,14.339861023373343,0.1340050643788593,Saturday,0,0,0,0,0,1,1.1101098056278207
2021-05-23,0.7915,0.905,0.9659,0.6507,3150000000.0,0.0,-20.163405285454907,-0.2251882062654066,Sunday,0,0,0,0,0,0,1.8926405299880633
